"Name","City","State","Access","Count","Latitude","Longitude","Wall","Proshop","Indoor","Lights","Surface"
"Eisenhower Senior High School","Houston - Galveston - Brazoria","TX","Public",4,29.882788,-95.4706281,"No","No","No","No","Hard"
"Holub Middle School","Houston - Galveston - Brazoria","TX","Public",2,29.6740454,-95.6021073,"No","No","No","No","Hard"
"Jackson Park","San Francisco - Oakland - San Jose","CA","Public",1,37.763845,-122.4002802,"No","No","No","Yes","Hard"
"Cal Anderson Park","Seattle","WA","Public",2,47.6157323,-122.3198783,"No","No","No","Yes","Hard"
"Island Club","Orlando","FL","Private",1,28.5240066,-81.4585751,"No","No","No","Yes","Hard"
"Sabal Palm at Lake Buena Vista","Orlando","FL","Private",2,28.3696899,-81.5026492,"No","No","No","Yes","Hard"
"Carlyle","San Antonio","TX","Private",2,29.503991,-98.4666717,"No","No","No","Yes","Hard"
"Carroll Butts Park","Denver","CO","Public",1,39.871466,-105.03879,"No","No","No","No","Hard"
"Oakwood Worldwide","Indianapolis","IN","Private",1,39.8054144,-86.2898827,"No","No","No","No","Hard"
"Grande Club Apartments","Atlanta","GA","Private",2,33.9402981,-84.1282046,"No","No","No","Yes","Hard"
"Fairview Alternative High School","Minneapolis-St. Paul","MN","Public",4,45.0023615,-93.1812179,"No","No","No","No","Hard"
"Saddlebrook Glen","Atlanta","GA","Private",2,34.1045025,-84.1893911,"No","No","No","Yes","Hard"
"Ghesquiere Park","Detroit","MI","Public",4,42.4327378,-82.9129493,"Yes","No","No","Yes","Hard"
"Lankford Park","Detroit","MI","Public",2,42.2754988,-83.1796789,"No","No","No","No","Hard"
"South Lake High School","Detroit","MI","Public",8,42.4657261,-82.9002571,"No","No","No","No","Hard"
"Lincoln High School","Detroit","MI","Public",8,42.1626698,-83.6090925,"No","No","No","No","Hard"
"Brooklyn Park Middle School","Baltimore","MD","Public",4,39.2172263,-76.6203582,"Yes","No","No","No","Hard"
"Crosswinds at Rolling Road","Baltimore","MD","Private",1,39.3298079,-76.7660344,"No","No","No","No","Hard"
"Cornfield Apartments","Hartford","CT","Private",1,41.8713504,-72.4940693,"No","No","No","No","Hard"
"Estancia High School","Los Angeles","CA","Public",8,33.6605139,-117.9356039,"No","No","No","Yes","Hard"
"Deckside Villas","Los Angeles","CA","Private",2,34.1894941,-119.2200708,"No","No","No","Yes","Hard"
